#Viterbi     Posterior-Viterbi    1-best      maxAccuracy       Observed
1	L	1	F	1	F	1	F	1 	L
2	L	2	F	2	F	2	F	1 	L
3	L	3	F	3	F	3	F	6 	L
4	L	4	F	4	F	4	F	4 	F
5	L	5	F	5	F	5	F	6 	F
6	L	6	F	6	F	6	F	4 	F
7	L	7	F	7	F	7	F	4 	F
8	L	8	F	8	F	8	F	1 	F
9	L	9	F	9	F	9	F	3 	F
10	L	10	F	10	F	10	F	5 	F
11	L	11	F	11	F	11	F	4 	F
12	L	12	F	12	F	12	F	4 	F
13	L	13	F	13	F	13	F	1 	F
14	L	14	F	14	F	14	F	1 	F
15	L	15	F	15	F	15	F	2 	F
16	L	16	F	16	F	16	F	5 	F
17	L	17	F	17	F	17	F	5 	F
18	L	18	F	18	F	18	F	4 	F
19	L	19	F	19	F	19	F	3 	F
20	L	20	F	20	F	20	F	2 	F
21	L	21	F	21	F	21	F	4 	F
22	L	22	F	22	F	22	F	6 	F
23	L	23	F	23	F	23	F	6 	F
24	L	24	F	24	F	24	F	2 	F
25	L	25	F	25	F	25	F	4 	F
26	L	26	F	26	F	26	F	2 	F
27	L	27	F	27	F	27	F	6 	F
28	L	28	F	28	F	28	F	6 	F
29	L	29	F	29	F	29	F	2 	F
30	L	30	F	30	F	30	F	5 	F
31	L	31	F	31	F	31	F	3 	F
32	L	32	F	32	F	32	F	1 	F
33	L	33	F	33	F	33	F	3 	F
34	L	34	F	34	F	34	F	4 	F
35	L	35	F	35	F	35	F	1 	F
36	L	36	F	36	F	36	F	2 	F
37	L	37	F	37	F	37	F	2 	F
38	L	38	F	38	F	38	F	2 	F
39	L	39	F	39	F	39	F	6 	F
40	L	40	F	40	F	40	F	3 	F
41	L	41	F	41	F	41	F	1 	F
42	L	42	F	42	F	42	F	1 	F
43	L	43	F	43	F	43	F	2 	F
44	L	44	F	44	F	44	F	3 	F
45	L	45	F	45	F	45	F	3 	F
46	L	46	F	46	F	46	F	3 	F
47	L	47	F	47	F	47	F	6 	F
48	L	48	F	48	F	48	F	6 	F
49	L	49	F	49	F	49	F	6 	F
